iter	Passed	Remaining
169	827	13772
170	831	13760
171	836	13748
172	840	13739
173	845	13726
174	849	13711
175	853	13702
176	858	13690
177	862	13679
178	867	13667
179	871	13657
180	876	13646
181	880	13639
182	886	13640
183	890	13633
184	895	13632
185	900	13626
186	905	13620
187	910	13612
188	915	13610
189	920	13610
190	925	13611
191	931	13620
192	937	13632
193	943	13641
194	949	13651
195	954	13649
196	959	13650
197	964	13651
198	969	13651
199	975	13658
200	980	13656
201	985	13653
202	991	13656
203	996	13657
204	1001	13656
205	1006	13652
206	1011	13652
207	1016	13645
208	1021	13644
209	1026	13639
210	1031	13640
211	1037	13641
212	1042	13639
213	1047	13637
214	1053	13641
215	1058	13638
216	1062	13632
217	1068	13631
218	1072	13624
219	1077	13617
220	1082	13609
221	1090	13642
222	1099	13687
223	1104	13685
224	1109	13680
225	1114	13680
226	1119	13677
227	1123	13665
228	1128	13654
229	1133	13653
230	1138	13642
231	1142	13630
232	1147	13625
233	1151	13617
234	1156	13610
235	1161	13606
236	1166	13601
237	1171	13594
238	1176	13590
239	1181	13584
240	1185	13574
241	1190	13571
242	1195	13563
243	1200	13558
244	1205	13556
245	1210	13550
246	1215	13544
247	1220	13543
248	1225	13536
249	1230	13531
250	1235	13528
251	1240	13523
252	1245	13518
253	1250	13514
254	1255	13510
255	1259	13504
256	1264	13501
257	1269	13496
258	1274	13489
259	1279	13484
260	1284	13481
261	1289	13477
262	1294	13474
263	1299	13472
264	1304	13467
265	1309	13462
266	1315	13463
267	1319	13455
268	1324	13449
269	1329	13446
270	1334	13443
271	1339	13436
272	1344	13433
273	1349	13428
274	1354	13422
275	1358	13412
276	1363	13403
277	1368	13395
278	1373	13391
279	1377	13383
280	1382	13374
281	1387	13369
282	1391	13363
283	1396	13353
284	1401	13349
285	1406	13342
286	1410	13335
287	1415	13327
288	1419	13319
289	1424	13310
290	1428	13301
291	1433	13298
292	1438	13293
293	1443	13288
294	1448	13286
295	1454	13285
296	1459	13280
297	1464	13275
298	1469	13273
299	1474	13268
300	1479	13264
301	1484	13260
302	1489	13253
303	1493	13248
304	1498	13241
305	1503	13232
306	1507	13227
307	1512	13223
308	1517	13215
309	1522	13209
310	1527	13204
311	1531	13197
312	1536	13189
313	1541	13185
314	1545	13177
315	1550	13169
316	1555	13163
317	1559	13156
318	1564	13147
319	1569	13140
320	1574	13137
321	1578	13130
322	1583	13127
323	1588	13122
324	1593	13115
325	1598	13109
326	1603	13103
327	1607	13097
328	1612	13088
329	1617	13083
330	1621	13075
331	1626	13067
332	1631	13062
333	1635	13056
334	1640	13051
335	1645	13043
336	1650	13039
337	1654	13033
338	1659	13024
339	1664	13020
340	1668	13013
341	1673	13005
342	1678	13000
343	1683	12994
344	1687	12986
345	1692	12978
346	1696	12972
347	1701	12965
348	1706	12959
349	1710	12952
350	1715	12946
351	1719	12938
352	1724	12933
353	1729	12924
354	1733	12918
355	1738	12914
356	1743	12906
357	1747	12899
358	1752	12891
359	1757	12885
360	1761	12877
361	1766	12871
362	1771	12866
363	1775	12859
364	1780	12853
365	1785	12847
366	1789	12840
367	1794	12835
368	1799	12829
369	1804	12824
370	1808	12816
371	1813	12810
372	1818	12805
373	1823	12800
374	1827	12793
375	1832	12786
376	1837	12781
377	1841	12776
378	1846	12771
379	1851	12766
380	1856	12759
381	1860	12754
382	1865	12747
383	1870	12740
384	1875	12735
385	1879	12728
386	1883	12720
387	1888	12716
388	1893	12709
389	1898	12703
390	1902	12695
391	1907	12688
392	1911	12679
393	1915	12672
394	1920	12664
395	1924	12657
396	1929	12650
397	1933	12643
398	1938	12636
399	1942	12629
400	1947	12621
401	1952	12616
402	1956	12610
403	1961	12602
404	1965	12596
405	1970	12589
406	1974	12581
407	1979	12574
408	1984	12569
409	1988	12561
410	1992	12553
411	1997	12545
412	2001	12538
413	2006	12530
414	2010	12522
415	2015	12516
416	2019	12508
417	2023	12500
418	2028	12492
419	2032	12486
420	2037	12479
421	2041	12471
422	2046	12466
423	2050	12460
424	2055	12453
425	2060	12448
426	2064	12442
427	2069	12435
428	2073	12427
429	2078	12423
430	2083	12418
431	2088	12417
432	2094	12415
433	2100	12419
434	2105	12416
435	2110	12413
436	2115	12409
437	2120	12404
438	2125	12400
439	2130	12393
440	2134	12388
441	2140	12387
442	2145	12385
443	2150	12381
444	2156	12380
445	2161	12376
446	2166	12372
447	2171	12367
448	2176	12363
449	2181	12360
450	2186	12355
451	2190	12349
452	2195	12345
453	2201	12343
454	2205	12336
455	2210	12332
456	2215	12329
457	2220	12325
458	2225	12320
459	2230	12316
460	2235	12311
461	2239	12304
462	2244	12300
463	2249	12294
464	2254	12288
465	2258	12283
466	2263	12277
467	2268	12272
468	2272	12265
469	2277	12260
470	2282	12254
471	2287	12249
472	2292	12246
473	2297	12241
474	2301	12236
475	2306	12230
476	2311	12227
477	2316	12222
478	2321	12216
479	2326	12213
480	2331	12207
481	2336	12204
482	2340	12199
483	2345	12194
484	2350	12190
485	2355	12185
486	2360	12180
487	2365	12176
488	2370	12172
489	2375	12166
490	2379	12161
491	2384	12156
492	2389	12150
493	2393	12143
494	2398	12139
495	2403	12134
496	2408	12128
497	2413	12126
498	2418	12122
499	2423	12117
500	2428	12111
501	2432	12105
502	2437	12100
503	2442	12094
504	2446	12088
505	2451	12082
506	2455	12075
507	2461	12072
508	2465	12066
509	2470	12062
510	2475	12059
511	2480	12054
512	2485	12049
513	2490	12046
514	2495	12042
515	2500	12037
516	2505	12033
517	2510	12028
518	2515	12023
519	2520	12019
520	2524	12013
521	2529	12009
522	2534	12005
523	2539	12001
524	2544	11996
525	2550	11994
526	2555	11990
527	2560	11986
528	2565	11985
529	2570	11981
530	2575	11975
531	2580	11972
532	2585	11968
533	2590	11963
534	2595	11959
535	2600	11956
536	2606	11952
537	2611	11949
538	2616	11944
539	2621	11941
540	2626	11938
541	2631	11934
542	2636	11930
543	2641	11926
544	2646	11922
545	2651	11917
546	2656	11913
547	2661	11908
548	2666	11903
549	2671	11900
550	2676	11897
551	2681	11893
552	2690	11905
553	2695	11902
554	2700	11897
555	2705	11894
556	2710	11890
557	2715	11886
558	2721	11884
559	2726	11881
560	2731	11876
561	2737	11873
562	2742	11869
563	2746	11863
564	2751	11859
565	2756	11853
566	2761	11848
567	2766	11844
568	2770	11838
569	2775	11832
570	2780	11826
571	2785	11821
572	2789	11815
573	2793	11808
574	2798	11803
575	2803	11797
576	2807	11791
577	2812	11787
578	2817	11781
579	2822	11775
580	2827	11770
581	2831	11765
582	2836	11759
583	2841	11754
584	2846	11750
585	2851	11744
586	2855	11737
587	2859	11731
588	2864	11724
589	2868	11718
590	2873	11711
591	2877	11705
592	2882	11698
593	2886	11691
594	2891	11686
595	2895	11679
596	2900	11673
597	2905	11668
598	2909	11662
599	2914	11656
600	2918	11650
601	2923	11643
602	2927	11637
603	2932	11631
604	2936	11625
605	2941	11619
606	2945	11612
607	2950	11608
608	2955	11601
609	2959	11595
610	2964	11590
611	2969	11587
612	2974	11581
613	2978	11576
614	2983	11571
615	2988	11566
616	2993	11561
617	2998	11557
618	3003	11552
619	3008	11548
620	3013	11544
621	3018	11539
622	3022	11533
623	3028	11532
624	3033	11528
625	3038	11524
626	3043	11519
627	3048	11514
628	3053	11510
629	3058	11506
630	3063	11502
631	3068	11497
632	3073	11493
633	3081	11501
634	3089	11506
635	3094	11503
636	3101	11505
637	3107	11504
