iter	PRAUC	Logloss
0	0.8357712117	0.6786911747
1	0.8391636492	0.6691614435
2	0.8605202149	0.6568912915
3	0.8711727588	0.6493460397
4	0.8732745242	0.6407695263
5	0.8724290271	0.6353622872
6	0.8730543183	0.6272841462
7	0.8819769047	0.615988646
8	0.8824464764	0.6093527117
9	0.8828131154	0.6025949157
10	0.8844118242	0.595639208
11	0.8851298643	0.587977296
12	0.886550206	0.5824582584
13	0.8867710766	0.5752330855
14	0.8893487409	0.5670540793
15	0.8923080063	0.5624596801
16	0.8957234564	0.5542689453
17	0.895744432	0.54961839
18	0.8965167319	0.5430606061
19	0.8975617823	0.539070254
20	0.8984810574	0.5346931402
21	0.8984900656	0.5310007047
22	0.901275847	0.5246438995
23	0.9013795126	0.5211909442
24	0.9021217174	0.5183899153
25	0.901624483	0.5156099412
26	0.9030031414	0.5105316892
27	0.9035250982	0.5076765836
28	0.9054894808	0.5048275338
29	0.9054605543	0.5002223211
30	0.9065186299	0.4977887068
31	0.9067025507	0.495522786
32	0.907430905	0.4923639413
33	0.9078580026	0.4894245787
34	0.9085699444	0.4855426208
35	0.9092094416	0.4811501421
36	0.9099046733	0.4787012529
37	0.9109825811	0.4758371115
38	0.9114402524	0.4739601698
39	0.911521463	0.47202163
40	0.9119322486	0.4701184622
41	0.9126054405	0.4661503791
42	0.9130386644	0.4635052219
43	0.9132244279	0.4613393405
44	0.9135622259	0.459953254
45	0.9138625354	0.4584217973
46	0.9142408812	0.4568102945
47	0.9149228294	0.4542490066
48	0.915651388	0.4512509313
49	0.9158362761	0.4501218574
50	0.9160729481	0.4484072372
51	0.9165883535	0.4471810264
52	0.9170245854	0.4458382529
53	0.9176577852	0.4438728337
54	0.9176851737	0.4424258706
55	0.9174609137	0.441190133
56	0.9174778315	0.4403134112
57	0.9177057731	0.4389279241
58	0.9181717063	0.4371218029
59	0.9182824559	0.4360947598
60	0.9182752226	0.4352050696
61	0.9184688035	0.4340792641
62	0.9192191669	0.4322949181
63	0.919768844	0.4309753919
64	0.9203085478	0.4300568553
65	0.9203133107	0.4288362605
66	0.9206773205	0.4269251096
67	0.9210841613	0.4258598229
68	0.92145209	0.4246279824
69	0.9217057836	0.423964671
70	0.9218193151	0.4228793028
71	0.9219740739	0.4221476087
72	0.9221744775	0.420176762
73	0.9224783006	0.4195931237
74	0.9227329938	0.4185888781
75	0.9235216057	0.416750052
76	0.9236067329	0.4155040962
77	0.9239084968	0.4144092945
78	0.9240464463	0.4132696185
79	0.9242812314	0.4126814675
80	0.9242541033	0.4121472117
81	0.9246335718	0.4114816975
82	0.9249776394	0.4106178969
83	0.9253693965	0.4096230012
84	0.9256510985	0.4089680764
85	0.9257846687	0.4082356921
86	0.9257804477	0.4076524327
87	0.9259558996	0.4068468126
88	0.9261151618	0.4058310846
89	0.9264067714	0.4050303508
90	0.9271347517	0.4027147321
91	0.9274298943	0.4016204009
92	0.9280319814	0.3998040501
93	0.9284133694	0.3990972606
94	0.9285920564	0.3986247915
95	0.9286182679	0.3981037313
96	0.9286098082	0.3976748158
97	0.9290233969	0.3968184415
98	0.9293023283	0.3960413687
99	0.9294524427	0.3950149449
100	0.9294463618	0.3945752059
101	0.929638426	0.3939962929
102	0.929764594	0.3933171268
103	0.9299460206	0.392911132
104	0.9299184396	0.3924444376
105	0.9299326735	0.392083596
106	0.9300192167	0.3914303072
107	0.9301763583	0.3909234333
108	0.9305034806	0.3899523468
109	0.9305413994	0.3896702239
110	0.9308570694	0.3888489382
111	0.9312581835	0.3879052871
112	0.9314265446	0.3871253655
113	0.9318460948	0.3864902328
114	0.9319768605	0.3856491242
115	0.9320230258	0.3851207173
116	0.932347565	0.3844661994
117	0.9323784691	0.3842700449
118	0.9324670775	0.384054281
119	0.9326786748	0.3832534164
120	0.932987922	0.3821742127
121	0.9330502974	0.3816879359
122	0.9330104356	0.3813033204
123	0.9331112718	0.3810463768
124	0.9332443221	0.3806314837
125	0.93343815	0.3803256304
126	0.9335883389	0.3797937712
127	0.933680361	0.3794033226
128	0.9337525677	0.3790318551
129	0.9338518816	0.37878875
130	0.9339137677	0.3783236005
131	0.9341465956	0.3778083335
132	0.9342973781	0.3766820413
133	0.934432802	0.3762398543
134	0.9349117039	0.3747305527
135	0.9350866188	0.3742644205
136	0.9352596124	0.3737743225
137	0.9352768985	0.3734677003
138	0.935381725	0.3731876939
139	0.93561215	0.3727019281
140	0.9357647913	0.3722357529
141	0.9357744144	0.37191962
142	0.9359520442	0.371570714
143	0.9361661628	0.3710122801
144	0.9364298352	0.3701422967
145	0.936634535	0.3695883901
146	0.9367056112	0.3693215519
147	0.936788172	0.3689533993
148	0.9370204029	0.3682469031
149	0.9371578889	0.3679232574
150	0.9372991061	0.3673787069
151	0.9373963473	0.3669914772
152	0.9375151353	0.3666728788
153	0.9377043874	0.3658592427
154	0.9377152019	0.3653984044
155	0.9379108131	0.3650465559
156	0.9382461791	0.3643423859
157	0.938333483	0.3636238467
158	0.9384420325	0.3632979495
159	0.9386787847	0.3626277945
160	0.9387292419	0.3624565056
161	0.9387669288	0.3621145979
162	0.9387828135	0.3619550047
163	0.9389489267	0.3615312831
164	0.9390755141	0.3611847668
165	0.9392239221	0.360628645
166	0.9392852868	0.3600158896
167	0.9393455665	0.3598038836
168	0.9393938888	0.3595825724
169	0.9394928616	0.3592850387
170	0.9395603098	0.3590683493
171	0.939771498	0.3579570347
172	0.9398755971	0.3573702366
173	0.9399994388	0.3570509206
174	0.9401248347	0.3564469449
175	0.9402011467	0.3561545696
176	0.9403394372	0.3557723464
177	0.9405020578	0.3553527105
178	0.9405941699	0.3550198574
179	0.9407118539	0.3547136335
180	0.9408041709	0.3543650393
181	0.9408545025	0.354247042
182	0.941066571	0.3537410531
183	0.9412586602	0.35324272
184	0.9413718638	0.3529233807
185	0.9415639484	0.3524359247
186	0.9416509842	0.3521103781
187	0.941723906	0.3517828035
188	0.9418032895	0.3515219678
189	0.9418525134	0.3511534702
190	0.9419195924	0.3509655332
191	0.9419403084	0.3508142151
192	0.9419767913	0.350623014
193	0.9422198977	0.3499580423
194	0.9423121556	0.3493971278
195	0.9425207263	0.348765014
196	0.9425969372	0.3485624859
197	0.942533471	0.3484312094
198	0.9426047518	0.3481336456
199	0.9427359281	0.3477056866
200	0.9429410255	0.3473532789
201	0.9430046272	0.3470852157
202	0.9432599156	0.3465778569
203	0.9433743949	0.346255248
204	0.9434513586	0.3460623121
205	0.9435663698	0.3457064387
206	0.9436604239	0.3454977349
207	0.9437511819	0.3448949963
208	0.9439027946	0.344567044
209	0.9441029651	0.3440643172
210	0.9441936203	0.343630504
211	0.9443776709	0.3432116616
212	0.9444523627	0.3428389444
213	0.9445402664	0.3426225553
214	0.944653439	0.3424160979
215	0.9447434277	0.3420856599
216	0.9448201228	0.3417548501
217	0.9448517705	0.3416207057
218	0.9449727404	0.3412883829
219	0.9450583844	0.3410916088
220	0.9452682846	0.3405790652
221	0.945410813	0.340231681
222	0.9455002041	0.3398117175
223	0.9455178861	0.3396700913
224	0.9455453369	0.339450395
225	0.9456244226	0.3393094136
226	0.9456755428	0.3390634342
227	0.9457449359	0.3385423569
228	0.9457717855	0.3382968912
229	0.9458361021	0.3380915546
230	0.9458510471	0.3379369405
231	0.9458833128	0.3376963211
232	0.9461206187	0.3373009577
233	0.9460976431	0.3372144216
234	0.9461717748	0.3370575141
235	0.9462823234	0.3367502833
236	0.9463372233	0.3364680447
237	0.9464721316	0.3361576997
238	0.9464797047	0.3360414176
239	0.9465319045	0.3358718007
240	0.9466434897	0.3356307781
241	0.9467656871	0.3353080543
242	0.9468698587	0.3350466619
243	0.9470345742	0.334569071
244	0.9471849911	0.3342266711
245	0.9472275694	0.3341373217
246	0.9473698271	0.3338642551
247	0.9474501356	0.3335837245
248	0.9475573387	0.333324035
249	0.947628489	0.3331899541
250	0.9477966456	0.3327003282
251	0.9478488482	0.332561677
252	0.9479301543	0.3322811706
253	0.9480290346	0.3321048056
254	0.948062798	0.331947927
255	0.9482293423	0.331563447
256	0.9482742921	0.3314383614
257	0.9482918752	0.3313066787
258	0.9484101293	0.3310311875
259	0.9484264677	0.330811952
260	0.9484630653	0.3306414197
261	0.9485459342	0.3305403181
262	0.9486612694	0.3299272256
263	0.9487046155	0.3297145409
264	0.9487196366	0.3295178875
265	0.948813574	0.3292528574
266	0.9489367602	0.3288033921
267	0.9490365998	0.3285410188
268	0.9491403984	0.3282903519
269	0.9492092859	0.3280313551
270	0.9492274412	0.3278135943
271	0.9493994733	0.3275365085
272	0.9495453324	0.3271243496
273	0.949581647	0.3268797399
274	0.9496272134	0.3266655523
275	0.9496865975	0.326484339
276	0.9497750525	0.3262559845
277	0.9498700912	0.3260104283
